type,title,venue,date,note,note_url,logo,blurb,authors,pdf_url,tags,hidden
Upcoming,Upcoming Chapter in the State of AI Ethics Report (Volume 8)  2026,Montreal AI Ethics Institute,2026,"Chapter in the State of AI Ethics Report, Volume 8",https://montrealethics.ai/saier-vol-8-contribute/,images/venues/maiei.png,"The chapter will focus on rethinking AI literacy as a participatory practice, examining how communities can move from being passive consumers of AI to actively shaping its datasets,and tools. It will be a part of the section on Coalition-Building Across Fractured Movements.","Archana Prasad, Isha Singh, Tom Simmons",,Education,
Paper,"Shaping AI: Ethics, Power and Responsibility","Espoo, Finland",25–27 November,Art of Research Conference 2026,https://www.aalto.fi/en/department-of-design/art-of-research-conference,images/venues/art-of-research-2026.png,"This paper examines how AI systems reproduce racial bias and proposed culturally grounded, participatory approaches to developing more inclusive and representative AI systems.","Archana Prasad, Isha Singh, Tom Simmons",https://docs.google.com/document/d/1vYDSvMcp-A9s7k41918cRd_Iwd92niT7/edit?usp=sharing,Culture,
Paper,Where textile practice meets machine intelligence,"London, UK",16 September,"Doctoral Consortium, Textile Intersections 2026",https://www.textile-intersections.com/call-for-doctoral-consortium/,images/venues/textile-intersections-2026.png,"Through projects including Shaping AI, Andal Meets Ada, and LokaLibraries, Archana's Ph.D research explores how community-led participation, heritage knowledge systems, and cultural memory can shape more inclusive and non-extractive AI infrastructures.","Archana Prasad, Isha Singh, Tom Simmons",,"Culture, India",
Paper,Beyond Bias: Participatory & Reflective Approaches to Cultural AI,"London, UK",13 July,"RICE Workshop, ACM Creativity and Cognition 2026",https://riceworkshop.github.io/,images/venues/creativity-cognition-2026.png,"This paper positions creative AI as a tool for ethical reflection, collaborative dataset creation, and culturally grounded approaches to inclusive AI design.","Archana Prasad, Isha Singh, Tom Simmons",https://drive.google.com/file/d/1u2B5R2s6s_bdA47PRFlZB_3QD2GsvaeP/view?usp=sharing,Culture,
Paper,Beyond Bias: Evaluating Cultural AI Through Participation and Interpretation,"Seoul, South Korea",10–11 July,"Culture × AI Workshop, ICML 2026",https://www.doingaidifferently.org/culturexaiworkshop,images/venues/icml-2026.png,"The paper highlighted how participatory dataset creation, artist-led model training, and culturally grounded AI workflows can create more inclusive and context-aware AI systems.","Archana Prasad, Isha Singh, Tom Simmons",https://drive.google.com/drive/folders/1jcNMpIcOEGOC_iPMSofPC4zv9MViPmr3,Culture,
Poster,Beyond Bias: Participatory Design for Inclusive AI,"Utrecht, Netherlands",12 June,"Inclusive AI Lab, Data Care Festival 2026",https://datacare.inclusiveailab.nl,images/venues/data-care-festival.png,"This research poster for Inclusive AI Lab covered the Beyond Bias initiative, exploring participatory design approaches for more inclusive and culturally grounded generative AI systems.","Archana Prasad, Isha Singh, Tom Simmons",https://drive.google.com/file/d/1cmpax7xvufKBDJ8AAn4rdnSDIhxv8Vvt/view?usp=sharing,Culture,
Paper,AI Across Cultures: Shaping AI,"Barcelona, Spain",16 April,"AI Across Cultures Workshop, CHI 2026",https://aiacrosscultures.web.app,images/venues/chi-2026.png,"The paper explored how social inequalities shape access to AI, and why inclusive, community-led approaches are essential for building culturally grounded AI systems.","Archana Prasad, Isha Singh, Tom Simmons",https://drive.google.com/file/d/1Pmke2fki_Jb5nhNHlNGJYq5a9y7XO9Ok/view?usp=sharing,Culture,
