name,role,photo,link_label,link_url,hidden
Sean Blagsvedt,Founder and CEO,images/people/sean-blagsvedt.jpg,Google Scholar,https://scholar.google.com/citations?user=WI7RjwgAAAAJ&hl=en,
Archana Prasad,Founder and CCO,images/people/archana-prasad.jpg,Google Scholar,https://scholar.google.com/citations?user=zOF3CmoAAAAJ&hl=en,
Dev Aggarwal,Co-Founder and CTO,images/people/dev-aggarwal.jpg,Profile,https://gooey.ai/dev/,
Isha Singh,Communications Manager,images/people/isha-singh.jpg,Profile,https://gooey.ai/isha25/,
